id,name,type,vid_res,language,home_away,call_sign
763,WTWP 1500,AM,,en,home,WTWP1500
764,670 The Score,AM,,en,away,WSCR
781,Bally Sports Great Lakes,TV,,en,away,BSGL
782,WKYC 3,TV,,en,home,WKYC 3
801,(FS-N outstate),TV,,en,home,FSNO
802,WFTC29,TV,,en,home,WFTC29
821,KLOK 1170,AM,,es,home,KLOK1170
841,Bally Sports SoCal,TV,,en,home,BSSC
861,WMGG/WTMP,AM,,es,away,WMGG/WTMP
881,VIVA 96.7,FM,,es,away,VIVA96.7
901,TBS Xtra,TV,,en,home,TBS Xtra
921,Project 9-6-1 ,FM,,en,away,Proj. 961
941,Rogers Preview,TV,,en,home,Rogers
961,TV 20,TV,,en,away,TV 20
981,KNTS 1220,AM,,en,home,KNTS1220
1001,KLAA 830,AM,,en,home,KLAA
1021,105.7 FM,FM,,en,home,105.7 FM
1041,KBGY 107.5,AM,,es,away,KBGY107.5
1061,KTFH,AM,,es,home,KTFH
1081,PRIME-HD,TV,,en,home,PRIME-HD
1101,,TV,,en,away,i
1121,KMVP 860,AM,,en,home,KMVP
1141,CW11,TV,,en,home,CW11
1161,Radio Net,AM,,en,home,RadioNet
1162,TIBN,AM,,en,away,TIBN
1163,MY9,TV,,en,home,MY9
1164,KSDK 5,TV,,en,home,KSDK 5
1201,my20,TV,,en,away,my20
1202,WJBK 2,TV,,en,home,WJBK 2
1221,SPSO,TV,,en,home,SPSO
1241,KCAL-HD,TV,,en,home,KCAL-HD
1261,ION,TV,,en,away,ION
1281,107.7 FM,FM,,en,away,107.7 FM
1282,CW 57,TV,,en,home,CW 57
1283,WDAS 1480,AM,,es,home,WDAS1480
1284,WPGB-FM 104.7,FM,,en,home,WPGB
1301,WHFS 105.7,FM,,en,away,WHFS105.7
1302,KFRC 1550,AM,,en,home,KFRC1550
1321,WRKO 680,AM,,en,away,WRKO 680
1341,WMLW 41,TV,,en,home,WMLW 41
1361,94.9 FM WUBL,FM,,en,away,94.9 WUBL
1362,MASN 2,TV,,en,away,MSN2
1363,KPHE 44,TV,,es,home,KPHE 44
1381,My27,TV,,en,away,My27
1382,FOX 4,TV,,en,home,FSSW
1401,Cablemas,TV,,es,away,Cablemas
1402,Ch. 4/HD-704,TV,,en,away,Ch. 4
1421,WGES 680,AM,,es,home,WGES
1441,FSSW HD,TV,,en,home,FSSW
1442,(SAP),TV,,en,away,(SAP)
1461,92.7 WQBU,FM,,es,home,92.7WQBU
1481,KDOW 1680,AM,,es,home,KDOW1680
1501,KTAR 92.3 FM,FM,,en,home,KTAR
1521,CSN+2,TV,,en,away,CSC
1541,3TV-HD,TV,,en,home,3TV-HD
1561,SS-HD,TV,,en,home,SS-HD
1581,Extra Innings Preview,TV,,en,away,Extra
1601,WUBA 1480,AM,,es,home,WUBA1480
1621,940 AM WINZ,AM,,en,away,WINZ
1641,WSSP 1250 AM,AM,,en,away,WSSP 1250
1661,JACK 102.7,FM,,en,home,JACK102.7
1681,WWWT 1500,AM,,en,home,WWWT1500
1701,TNT,TV,,en,home,TNT
1721,KCSP 610,AM,,en,away,KCSP
1722,WNSW 1430,AM,,es,away,WNSW1430
1723,KABC 790,AM,,en,home,KABC 790
1724,KHJ 930,AM,,es,home,KHJ 930
1725,NBC Bay Area,TV,,en,home,NBCSBA
1726,PTV,TV,,en,home,PTV
1741,CityTV,TV,,en,home,CityTV
