mlbam,Manager,Tm,bbrefID,HOF,Years,First,Last,W,L,W%,Best,Worst,Ejections
118451,Gene Mauch,WSN,mauchge01,FALSE,7,1969,1975,499,627,0.443,4,6,16
492702,Bobby Winkles,ANA,winklbo99,FALSE,2,1973,1974,109,127,0.462,4,6,2
115865,Whitey Herzog,ANA,herzowh01,TRUE,1,1974,1974,2,2,0.5,6,6,0
118416,Eddie Mathews,ATL,matheed01,TRUE,3,1972,1974,149,161,0.481,3,5,6
117857,Whitey Lockman,CHC,lockmwh01,FALSE,3,1972,1974,157,162,0.492,2,6,6
110355,Ken Aspromonte,CLE,asproke01,FALSE,3,1972,1974,220,260,0.458,4,6,6
114355,Charlie Fox,SFG,foxch01,FALSE,5,1970,1974,348,327,0.516,1,5,4
116856,Eddie Kasko,BOS,kaskoed01,FALSE,4,1970,1973,345,295,0.539,2,3,11
492680,Eddie Popowski,BOS,popowed99,FALSE,2,1969,1973,6,4,0.6,2,3,0
118330,Billy Martin,DET,martibi02,FALSE,3,1971,1973,248,204,0.549,1,3,10
121889,Joe Schultz,DET,schuljo05,FALSE,1,1973,1973,14,14,0.5,3,3,0
113664,Leo Durocher,HOU,durocle01,TRUE,2,1972,1973,98,95,0.508,2,4,2
116177,Ralph Houk,NYY,houkra01,FALSE,11,1961,1973,944,806,0.539,1,10,24
124335,Dick Williams,OAK,willidi02,TRUE,3,1971,1973,288,190,0.603,1,1,11
123734,Bill Virdon,PIT,virdobi01,FALSE,2,1972,1973,163,128,0.56,1,3,2
124768,Don Zimmer,SDP,zimmedo01,FALSE,2,1972,1973,114,190,0.375,6,6,4
124250,Del Wilber,TEX,wilbede01,FALSE,1,1973,1973,1,0,1,6,6,0
115865,Whitey Herzog,TEX,herzowh01,TRUE,1,1973,1973,47,91,0.341,6,6,6
121136,Del Rice,ANA,ricede01,FALSE,1,1972,1972,75,80,0.484,5,5,6
115515,Lum Harris,ATL,harrilu01,FALSE,5,1968,1972,379,373,0.504,1,5,5
113664,Leo Durocher,CHC,durocle01,TRUE,7,1966,1972,535,526,0.504,2,10,20
123825,Harry Walker,HOU,walkeha01,FALSE,5,1968,1972,355,353,0.501,2,10,8
120227,Salty Parker,HOU,parkesa01,FALSE,1,1972,1972,1,0,1,2,2,0
117671,Bob Lemon,KCR,lemonbo01,TRUE,3,1970,1972,207,218,0.487,2,4,5
492622,Dave Bristol,MIL,bristda99,FALSE,3,1970,1972,144,209,0.408,4,6,8
118828,Roy McMillan,MIL,mcmilro01,FALSE,1,1972,1972,1,1,0.5,6,6,0
121205,Bill Rigney,MIN,rignebi01,FALSE,3,1970,1972,208,184,0.531,1,5,6
492660,Frank Lucchesi,PHI,lucchfr99,FALSE,3,1970,1972,166,233,0.416,5,6,8
114914,Preston Gomez,SDP,gomezpr01,FALSE,4,1969,1972,180,316,0.363,6,6,3
124341,Ted Williams,TEX,willite01,TRUE,4,1969,1972,273,364,0.429,4,6,0
0,Lefty Phillips,ANA,phillle99,FALSE,3,1969,1971,222,225,0.497,3,4,0
113052,Al Dark,CLE,darkal01,FALSE,4,1968,1971,266,321,0.453,3,6,8
117805,Johnny Lipon,CLE,liponjo01,FALSE,1,1971,1971,18,41,0.305,6,6,0
116008,Gil Hodges,NYM,hodgegi01,FALSE,4,1968,1971,339,309,0.523,1,9,5
492614,Bill Adair,CHW,adairbi99,FALSE,1,1970,1970,4,6,0.4,6,6,0
115264,Don Gutteridge,CHW,guttedo01,FALSE,2,1969,1970,109,172,0.388,5,6,0
122379,Mayo Smith,DET,smithma01,FALSE,4,1967,1970,363,285,0.56,1,4,3
118998,Charlie Metro,KCR,metroch01,FALSE,1,1970,1970,19,33,0.365,4,4,3
492579,John McNamara,OAK,mcnamjo99,FALSE,2,1969,1970,97,78,0.554,2,2,0
117075,Clyde King,SFG,kingcl01,FALSE,2,1969,1970,109,95,0.534,2,3,1
121205,Bill Rigney,ANA,rignebi01,FALSE,9,1961,1969,625,707,0.469,3,9,36
124335,Dick Williams,BOS,willidi02,TRUE,3,1967,1969,260,217,0.545,1,4,11
117914,Al Lopez,CHW,lopezal01,TRUE,11,1957,1969,840,650,0.564,1,8,17
492622,Dave Bristol,CIN,bristda99,FALSE,4,1966,1969,298,265,0.529,3,7,16
114967,Joe Gordon,KCR,gordojo01,TRUE,1,1969,1969,69,93,0.426,4,4,2
121889,Joe Schultz,MIL,schuljo05,FALSE,1,1969,1969,64,98,0.395,6,6,3
118330,Billy Martin,MIN,martibi02,FALSE,1,1969,1969,97,65,0.599,1,1,3
110697,Hank Bauer,OAK,bauerha01,FALSE,3,1961,1969,187,226,0.453,2,9,3
122299,Bob Skinner,PHI,skinnbo01,FALSE,2,1968,1969,92,123,0.428,5,7,1
119611,George Myatt,PHI,myattge01,FALSE,2,1968,1969,20,35,0.364,5,7,0
115037,Alex Grammas,PIT,grammal01,FALSE,1,1969,1969,4,1,0.8,3,3,0
