Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,SO/W,W,L,W-L%,ERA,GF,CG,SHO,SV,IP,ER,BK,WP,BF,WHIP,SO9
conditions,Grass,1331.0,125.0,4682.0,4120.0,559,973.0,209.0,15.0,146.0,523.0,73.0,11.0,432.0,1042.0,0.236,0.317,0.4,0.718,1650.0,83.0,77.0,12.0,41.0,11.0,35.0,0.278,98.0,97.0,,,,,,,,,,,,,,,,
conditions,Artif. Turf,213.0,19.0,725.0,665.0,98,165.0,38.0,3.0,33.0,94.0,9.0,4.0,46.0,162.0,0.248,0.305,0.463,0.768,308.0,8.0,9.0,3.0,2.0,1.0,5.0,0.28,110.0,116.0,,,,,,,,,,,,,,,,
parks,LAA-Angel Stad,70.0,7.0,279.0,242.0,33,60.0,11.0,2.0,12.0,30.0,5.0,1.0,29.0,53.0,0.248,0.342,0.459,0.8,111.0,5.0,6.0,1.0,1.0,2.0,6.0,0.27,121.0,115.0,,,,,,,,,,,,,,,,
parks,BAL-Camden Yards,30.0,3.0,110.0,99.0,11,19.0,2.0,0.0,3.0,11.0,0.0,0.0,10.0,25.0,0.192,0.273,0.303,0.576,30.0,1.0,1.0,0.0,0.0,0.0,0.0,0.225,61.0,44.0,,,,,,,,,,,,,,,,
parks,ARI-Chase Field,33.0,2.0,84.0,75.0,16,23.0,5.0,1.0,4.0,15.0,4.0,0.0,6.0,25.0,0.307,0.369,0.56,0.929,42.0,1.0,2.0,0.0,1.0,1.0,0.0,0.404,154.0,145.0,,,,,,,,,,,,,,,,
parks,DET-Comerica Pk,31.0,3.0,124.0,112.0,23,34.0,11.0,0.0,6.0,23.0,2.0,0.0,10.0,19.0,0.304,0.355,0.563,0.917,63.0,0.0,0.0,0.0,2.0,0.0,0.0,0.315,150.0,156.0,,,,,,,,,,,,,,,,
parks,COL-Coors Fld,44.0,3.0,120.0,106.0,16,32.0,9.0,1.0,4.0,15.0,1.0,0.0,9.0,19.0,0.302,0.356,0.519,0.875,55.0,3.0,1.0,2.0,2.0,1.0,1.0,0.329,140.0,120.0,,,,,,,,,,,,,,,,
parks,BOS-Fenway Pk,31.0,3.0,108.0,99.0,8,23.0,9.0,0.0,1.0,7.0,0.0,0.0,8.0,26.0,0.232,0.296,0.354,0.65,35.0,3.0,1.0,0.0,0.0,0.0,0.0,0.306,80.0,64.0,,,,,,,,,,,,,,,,
parks,TEX-GlbLifeField,106.0,10.0,391.0,361.0,56,94.0,20.0,2.0,21.0,53.0,5.0,1.0,25.0,68.0,0.26,0.312,0.501,0.813,181.0,4.0,2.0,3.0,0.0,0.0,4.0,0.268,121.0,127.0,,,,,,,,,,,,,,,,
parks,CHW-Guaranteed,46.0,4.0,148.0,126.0,9,24.0,2.0,1.0,5.0,9.0,4.0,0.0,18.0,34.0,0.19,0.304,0.341,0.645,43.0,6.0,3.0,0.0,1.0,0.0,1.0,0.216,80.0,80.0,,,,,,,,,,,,,,,,
parks,KCR-KauffmanStad,10.0,1.0,41.0,32.0,7,8.0,4.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0,0.25,0.366,0.375,0.741,12.0,1.0,1.0,0.0,2.0,0.0,0.0,0.286,108.0,105.0,,,,,,,,,,,,,,,,
parks,HOU-MinuteMaidPk,61.0,6.0,227.0,207.0,26,48.0,10.0,0.0,7.0,24.0,4.0,1.0,18.0,58.0,0.232,0.296,0.382,0.678,79.0,1.0,1.0,1.0,0.0,0.0,3.0,0.289,87.0,87.0,,,,,,,,,,,,,,,,
parks,SFG-Oracle Park,42.0,3.0,117.0,103.0,11,19.0,1.0,0.0,1.0,10.0,2.0,0.0,7.0,24.0,0.184,0.259,0.223,0.482,23.0,0.0,4.0,1.0,2.0,0.0,2.0,0.225,37.0,40.0,,,,,,,,,,,,,,,,
parks,SDP-Petco Pk,31.0,2.0,80.0,71.0,14,22.0,5.0,0.0,2.0,12.0,1.0,1.0,6.0,17.0,0.31,0.354,0.465,0.819,33.0,2.0,0.0,1.0,2.0,0.0,1.0,0.37,126.0,135.0,,,,,,,,,,,,,,,,
parks,CLE-Progressive,32.0,3.0,133.0,110.0,27,31.0,7.0,0.0,5.0,27.0,4.0,2.0,17.0,19.0,0.282,0.398,0.482,0.88,53.0,3.0,5.0,0.0,1.0,1.0,0.0,0.299,144.0,145.0,,,,,,,,,,,,,,,,
parks,OAK-Coliseum,760.0,74.0,2687.0,2358.0,309,538.0,112.0,10.0,81.0,287.0,45.0,5.0,254.0,615.0,0.228,0.313,0.387,0.7,913.0,53.0,47.0,4.0,24.0,7.0,20.0,0.271,94.0,102.0,,,,,,,,,,,,,,,,
parks,TOR-Rogers Ctr,32.0,3.0,113.0,103.0,18,23.0,6.0,0.0,5.0,18.0,0.0,1.0,7.0,30.0,0.223,0.292,0.427,0.719,44.0,1.0,3.0,0.0,0.0,0.0,1.0,0.265,97.0,103.0,,,,,,,,,,,,,,,,
parks,SEA-T-Mobile Pk,75.0,7.0,278.0,247.0,37,64.0,18.0,0.0,8.0,36.0,3.0,1.0,22.0,68.0,0.259,0.329,0.429,0.758,106.0,3.0,5.0,1.0,3.0,0.0,1.0,0.322,109.0,125.0,,,,,,,,,,,,,,,,
parks,MIN-Target Field,33.0,3.0,116.0,106.0,17,28.0,7.0,0.0,6.0,15.0,0.0,0.0,8.0,27.0,0.264,0.313,0.5,0.813,53.0,2.0,0.0,1.0,1.0,0.0,0.0,0.297,121.0,115.0,,,,,,,,,,,,,,,,
parks,TBR-TropicanaFld,42.0,4.0,137.0,126.0,8,25.0,7.0,0.0,3.0,8.0,0.0,2.0,8.0,39.0,0.198,0.255,0.325,0.581,41.0,2.0,2.0,0.0,1.0,0.0,0.0,0.259,60.0,70.0,,,,,,,,,,,,,,,,
