Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,SO/W,W,L,W-L%,ERA,GF,CG,SHO,SV,IP,ER,BK,WP,BF,WHIP,SO9
bases,"0 out, 1--",131.0,,288.0,249.0,27,67.0,15.0,3.0,9.0,26.0,9.0,1.0,24.0,50.0,0.269,0.355,0.462,0.816,115.0,24.0,9.0,6.0,0.0,0.0,2.0,0.305,125.0,110.0,,,,,,,,,,,,,,,,
bases,"0 out, -2-",62.0,,89.0,76.0,9,16.0,2.0,0.0,2.0,9.0,2.0,1.0,10.0,15.0,0.211,0.326,0.316,0.642,24.0,0.0,3.0,0.0,0.0,2.0,1.0,0.237,80.0,70.0,,,,,,,,,,,,,,,,
bases,"0 out, --3",17.0,,17.0,12.0,6,2.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,4.0,0.167,0.235,0.25,0.485,3.0,0.0,1.0,0.0,3.0,0.0,1.0,0.182,36.0,12.0,,,,,,,,,,,,,,,,
bases,"0 out, 12-",59.0,,80.0,65.0,33,24.0,6.0,0.0,5.0,29.0,1.0,0.0,9.0,12.0,0.369,0.453,0.692,1.146,45.0,6.0,1.0,5.0,0.0,0.0,1.0,0.396,213.0,186.0,,,,,,,,,,,,,,,,
bases,"0 out, 1-3",25.0,,26.0,22.0,17,9.0,3.0,0.0,1.0,16.0,1.0,0.0,0.0,6.0,0.409,0.36,0.682,1.042,15.0,1.0,0.0,1.0,3.0,0.0,0.0,0.444,181.0,130.0,,,,,,,,,,,,,,,,
bases,"0 out, -23",19.0,,22.0,18.0,8,2.0,1.0,0.0,0.0,7.0,0.0,0.0,2.0,6.0,0.111,0.182,0.167,0.348,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.143,-2.0,-22.0,,,,,,,,,,,,,,,,
bases,"0 out, 123",18.0,,25.0,20.0,21,7.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,4.0,0.35,0.4,0.35,0.75,7.0,3.0,1.0,0.0,2.0,0.0,0.0,0.389,112.0,78.0,,,,,,,,,,,,,,,,
bases,"1 out, ---",144.0,,969.0,868.0,30,194.0,40.0,3.0,30.0,30.0,0.0,0.0,84.0,223.0,0.224,0.304,0.38,0.685,330.0,0.0,17.0,0.0,0.0,0.0,7.0,0.267,89.0,98.0,,,,,,,,,,,,,,,,
bases,"1 out, 1--",140.0,,348.0,320.0,18,79.0,16.0,0.0,5.0,18.0,26.0,5.0,24.0,77.0,0.247,0.303,0.344,0.647,110.0,38.0,2.0,2.0,0.0,0.0,1.0,0.311,80.0,75.0,,,,,,,,,,,,,,,,
bases,"1 out, -2-",93.0,,164.0,142.0,34,43.0,9.0,2.0,5.0,33.0,4.0,0.0,20.0,33.0,0.303,0.396,0.5,0.896,71.0,0.0,2.0,0.0,0.0,2.0,0.0,0.365,148.0,144.0,,,,,,,,,,,,,,,,
bases,"1 out, --3",33.0,,42.0,32.0,23,9.0,2.0,0.0,1.0,22.0,0.0,0.0,3.0,11.0,0.281,0.286,0.438,0.723,14.0,0.0,0.0,0.0,7.0,0.0,0.0,0.296,98.0,57.0,,,,,,,,,,,,,,,,
bases,"1 out, 12-",84.0,,114.0,105.0,33,28.0,4.0,0.0,2.0,28.0,12.0,1.0,8.0,18.0,0.267,0.325,0.362,0.686,38.0,14.0,1.0,0.0,0.0,0.0,0.0,0.306,91.0,99.0,,,,,,,,,,,,,,,,
bases,"1 out, 1-3",50.0,,53.0,35.0,34,12.0,3.0,0.0,1.0,32.0,4.0,1.0,6.0,11.0,0.343,0.346,0.514,0.86,18.0,1.0,0.0,1.0,11.0,0.0,0.0,0.324,135.0,106.0,,,,,,,,,,,,,,,,
bases,"1 out, -23",47.0,,51.0,37.0,35,12.0,3.0,0.0,0.0,34.0,0.0,0.0,7.0,10.0,0.324,0.392,0.405,0.798,15.0,0.0,1.0,0.0,6.0,1.0,0.0,0.364,123.0,97.0,,,,,,,,,,,,,,,,
bases,"1 out, 123",32.0,,45.0,30.0,32,8.0,3.0,0.0,0.0,31.0,0.0,0.0,6.0,8.0,0.267,0.311,0.367,0.678,11.0,4.0,0.0,0.0,9.0,0.0,0.0,0.258,88.0,64.0,,,,,,,,,,,,,,,,
bases,"2 out, ---",144.0,,779.0,698.0,33,167.0,39.0,2.0,33.0,33.0,0.0,0.0,75.0,203.0,0.239,0.318,0.443,0.761,309.0,0.0,6.0,0.0,0.0,0.0,5.0,0.29,109.0,119.0,,,,,,,,,,,,,,,,
bases,"2 out, 1--",138.0,,365.0,340.0,43,70.0,19.0,2.0,13.0,41.0,13.0,5.0,21.0,82.0,0.206,0.26,0.388,0.649,132.0,0.0,4.0,0.0,0.0,0.0,1.0,0.233,77.0,81.0,,,,,,,,,,,,,,,,
bases,"2 out, -2-",109.0,,188.0,156.0,36,37.0,10.0,1.0,4.0,34.0,3.0,1.0,28.0,42.0,0.237,0.367,0.391,0.758,61.0,0.0,4.0,0.0,0.0,2.0,1.0,0.3,112.0,106.0,,,,,,,,,,,,,,,,
bases,"2 out, --3",70.0,,87.0,73.0,20,15.0,5.0,0.0,2.0,17.0,0.0,0.0,13.0,18.0,0.205,0.333,0.356,0.689,26.0,0.0,1.0,0.0,0.0,3.0,1.0,0.245,92.0,86.0,,,,,,,,,,,,,,,,
bases,"2 out, 12-",85.0,,124.0,108.0,33,23.0,6.0,1.0,4.0,32.0,3.0,0.0,14.0,33.0,0.213,0.315,0.398,0.713,43.0,0.0,2.0,0.0,0.0,0.0,2.0,0.268,97.0,107.0,,,,,,,,,,,,,,,,
bases,"2 out, 1-3",68.0,,79.0,69.0,28,21.0,3.0,0.0,1.0,23.0,4.0,0.0,10.0,19.0,0.304,0.392,0.391,0.784,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408,120.0,122.0,,,,,,,,,,,,,,,,
bases,"2 out, -23",52.0,,58.0,51.0,15,8.0,1.0,0.0,0.0,15.0,0.0,0.0,7.0,16.0,0.157,0.259,0.176,0.435,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.229,25.0,19.0,,,,,,,,,,,,,,,,
bases,"2 out, 123",42.0,,56.0,52.0,29,10.0,1.0,0.0,1.0,24.0,0.0,0.0,3.0,14.0,0.192,0.25,0.269,0.519,14.0,0.0,1.0,0.0,0.0,0.0,2.0,0.243,45.0,42.0,,,,,,,,,,,,,,,,
clutch,"2 outs, RISP",141.0,,592.0,509.0,161,114.0,26.0,2.0,12.0,145.0,10.0,1.0,75.0,142.0,0.224,0.333,0.354,0.686,180.0,0.0,8.0,0.0,0.0,6.0,6.0,0.287,92.0,91.0,,,,,,,,,,,,,,,,
clutch,Late & Close,87.0,,847.0,739.0,111,180.0,33.0,4.0,29.0,101.0,15.0,3.0,84.0,198.0,0.244,0.325,0.417,0.742,308.0,15.0,10.0,4.0,10.0,5.0,12.0,0.289,105.0,114.0,,,,,,,,,,,,,,,,
clutch,Tie Game,139.0,,1424.0,1255.0,178,314.0,71.0,5.0,50.0,171.0,20.0,9.0,121.0,315.0,0.25,0.326,0.434,0.76,545.0,19.0,28.0,4.0,16.0,6.0,10.0,0.291,109.0,110.0,,,,,,,,,,,,,,,,
clutch,Within 1 R,144.0,,2712.0,2392.0,344,598.0,134.0,10.0,90.0,322.0,42.0,12.0,238.0,602.0,0.25,0.328,0.427,0.755,1022.0,44.0,51.0,8.0,23.0,8.0,19.0,0.295,108.0,108.0,,,,,,,,,,,,,,,,
clutch,Within 2 R,144.0,,3589.0,3174.0,449,775.0,175.0,14.0,129.0,419.0,51.0,13.0,312.0,808.0,0.244,0.321,0.43,0.751,1365.0,56.0,62.0,10.0,31.0,8.0,29.0,0.285,107.0,107.0,,,,,,,,,,,,,,,,
clutch,Within 3 R,144.0,,4286.0,3798.0,533,918.0,211.0,15.0,149.0,501.0,70.0,14.0,368.0,952.0,0.242,0.317,0.423,0.74,1606.0,70.0,70.0,13.0,37.0,11.0,33.0,0.281,104.0,104.0,,,,,,,,,,,,,,,,
clutch,Within 4 R,144.0,,4723.0,4181.0,579,1002.0,228.0,17.0,160.0,547.0,79.0,14.0,408.0,1055.0,0.24,0.316,0.417,0.733,1744.0,79.0,79.0,15.0,40.0,12.0,37.0,0.28,102.0,102.0,,,,,,,,,,,,,,,,
clutch,Margin > 4 R,53.0,,684.0,604.0,78,136.0,19.0,1.0,19.0,70.0,3.0,1.0,70.0,149.0,0.225,0.311,0.354,0.666,214.0,12.0,7.0,0.0,3.0,0.0,3.0,0.267,85.0,84.0,,,,,,,,,,,,,,,,
clutch,Ahead,108.0,,2175.0,1924.0,295,458.0,88.0,7.0,69.0,276.0,36.0,4.0,190.0,464.0,0.238,0.315,0.399,0.714,767.0,34.0,35.0,9.0,17.0,6.0,17.0,0.276,97.0,91.0,,,,,,,,,,,,,,,,
