Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,SO/W,W,L,W-L%,ERA,GF,CG,SHO,SV,IP,ER,BK,WP,BF,WHIP,SO9
ump,Carlos Torres,8.0,,75.0,68.0,9,18.0,4.0,0.0,0.0,,0.0,1.0,5.0,22.0,0.265,0.32,0.324,0.644,22.0,2.0,1.0,0.0,1.0,0.0,0.0,0.383,73.0,70.0,4.4,,,,,,,,,,,,,,,
ump,CB Bucknor,10.0,,89.0,83.0,5,12.0,2.0,1.0,2.0,,0.0,0.0,4.0,39.0,0.145,0.193,0.265,0.458,22.0,1.0,1.0,0.0,0.0,0.0,0.0,0.238,20.0,29.0,9.75,,,,,,,,,,,,,,,
ump,Chad Fairchild,10.0,,101.0,93.0,2,13.0,2.0,0.0,1.0,,0.0,0.0,6.0,24.0,0.14,0.198,0.194,0.392,18.0,3.0,1.0,0.0,1.0,0.0,3.0,0.174,5.0,9.0,4.0,,,,,,,,,,,,,,,
ump,Chad Whitson,4.0,,37.0,31.0,2,5.0,2.0,0.0,0.0,,0.0,0.0,4.0,5.0,0.161,0.278,0.226,0.504,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.192,38.0,45.0,1.25,,,,,,,,,,,,,,,
ump,Chris Guccione,12.0,,115.0,101.0,16,25.0,8.0,0.0,4.0,,4.0,0.0,13.0,21.0,0.248,0.339,0.446,0.785,45.0,5.0,1.0,0.0,0.0,0.0,3.0,0.276,106.0,138.0,1.62,,,,,,,,,,,,,,,
ump,Chris Segal,7.0,,73.0,63.0,12,22.0,4.0,0.0,2.0,,1.0,0.0,7.0,12.0,0.349,0.423,0.508,0.93,32.0,1.0,1.0,2.0,0.0,0.0,0.0,0.408,146.0,146.0,1.71,,,,,,,,,,,,,,,
ump,Cory Blaser,17.0,,145.0,135.0,15,30.0,6.0,1.0,6.0,,4.0,1.0,9.0,28.0,0.222,0.271,0.415,0.686,56.0,2.0,0.0,1.0,0.0,1.0,1.0,0.238,77.0,100.0,3.11,,,,,,,,,,,,,,,
ump,D.J. Reyburn,8.0,,75.0,62.0,10,18.0,4.0,0.0,4.0,,0.0,0.0,11.0,13.0,0.29,0.397,0.548,0.946,34.0,1.0,0.0,2.0,0.0,0.0,0.0,0.311,146.0,167.0,1.18,,,,,,,,,,,,,,,
ump,Dan Bellino,9.0,,75.0,71.0,8,17.0,4.0,0.0,3.0,,0.0,0.0,3.0,14.0,0.239,0.27,0.423,0.693,30.0,4.0,0.0,1.0,0.0,0.0,1.0,0.259,79.0,92.0,4.67,,,,,,,,,,,,,,,
ump,Dan Iassogna,6.0,,47.0,41.0,13,13.0,2.0,0.0,3.0,,2.0,1.0,3.0,6.0,0.317,0.383,0.585,0.968,24.0,1.0,2.0,0.0,1.0,0.0,2.0,0.303,150.0,140.0,2.0,,,,,,,,,,,,,,,
ump,Dan Merzel,12.0,,99.0,92.0,6,18.0,2.0,1.0,2.0,,0.0,2.0,7.0,30.0,0.196,0.253,0.304,0.557,28.0,3.0,0.0,0.0,0.0,0.0,1.0,0.267,47.0,47.0,4.29,,,,,,,,,,,,,,,
ump,David Rackley,5.0,,42.0,38.0,4,10.0,4.0,0.0,1.0,,0.0,0.0,3.0,8.0,0.263,0.333,0.447,0.781,17.0,0.0,1.0,0.0,0.0,0.0,1.0,0.31,104.0,103.0,2.67,,,,,,,,,,,,,,,
ump,Ed Hickox,6.0,,74.0,70.0,10,25.0,7.0,1.0,2.0,,3.0,1.0,3.0,15.0,0.357,0.384,0.571,0.955,40.0,4.0,0.0,1.0,0.0,0.0,0.0,0.434,147.0,144.0,5.0,,,,,,,,,,,,,,,
ump,Erich Bacchus,14.0,,110.0,99.0,9,20.0,7.0,0.0,4.0,,0.0,2.0,8.0,25.0,0.202,0.266,0.394,0.66,39.0,1.0,1.0,1.0,1.0,0.0,0.0,0.225,71.0,101.0,3.13,,,,,,,,,,,,,,,
ump,Fieldin Culbreth,10.0,,76.0,66.0,6,18.0,3.0,0.0,2.0,,1.0,0.0,9.0,18.0,0.273,0.368,0.409,0.778,27.0,2.0,1.0,0.0,0.0,0.0,0.0,0.348,106.0,108.0,2.0,,,,,,,,,,,,,,,
ump,Greg Gibson,16.0,,154.0,140.0,23,44.0,10.0,1.0,7.0,,1.0,3.0,10.0,34.0,0.314,0.364,0.55,0.914,77.0,1.0,2.0,0.0,2.0,0.0,0.0,0.366,136.0,138.0,3.4,,,,,,,,,,,,,,,
ump,Hunter Wendelstedt,7.0,,65.0,62.0,6,18.0,1.0,1.0,3.0,,0.0,0.0,3.0,7.0,0.29,0.323,0.484,0.807,30.0,2.0,0.0,0.0,0.0,0.0,1.0,0.288,109.0,135.0,2.33,,,,,,,,,,,,,,,
ump,Jansen Visconti,10.0,,80.0,74.0,8,13.0,2.0,0.0,2.0,,0.0,0.0,5.0,27.0,0.176,0.225,0.284,0.509,21.0,0.0,0.0,0.0,1.0,0.0,2.0,0.239,34.0,42.0,5.4,,,,,,,,,,,,,,,
ump,Jeff Nelson,13.0,,68.0,61.0,7,11.0,2.0,1.0,2.0,,1.0,0.0,6.0,19.0,0.18,0.25,0.344,0.594,21.0,2.0,0.0,0.0,1.0,1.0,0.0,0.22,55.0,63.0,3.17,,,,,,,,,,,,,,,
ump,Jeremie Rehak,9.0,,102.0,88.0,15,17.0,2.0,0.0,7.0,,4.0,0.0,11.0,22.0,0.193,0.294,0.455,0.749,40.0,4.0,2.0,0.0,1.0,0.0,4.0,0.167,93.0,106.0,2.0,,,,,,,,,,,,,,,
ump,Jeremy Riggs,7.0,,87.0,72.0,21,23.0,6.0,1.0,0.0,,0.0,1.0,11.0,12.0,0.319,0.391,0.431,0.821,31.0,1.0,0.0,0.0,4.0,0.0,1.0,0.359,119.0,135.0,1.09,,,,,,,,,,,,,,,
ump,Jerry Meals,11.0,,74.0,67.0,8,13.0,4.0,1.0,3.0,,0.0,0.0,7.0,19.0,0.194,0.27,0.418,0.688,28.0,1.0,0.0,0.0,0.0,0.0,1.0,0.222,78.0,80.0,2.71,,,,,,,,,,,,,,,
